Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
Enter the Anime,Documentary,8/5/2019,58,2.5,English/Japanese,Monday
Dark Forces,Thriller,8/21/2020,81,2.6,Spanish,Friday
The App,Science fiction/Drama,12/26/2019,79,2.6,Italian,Thursday
The Open House,Horror thriller,1/19/2018,94,3.2,English,Friday
Kaali Khuhi,Mystery,10/30/2020,90,3.4,Hindi,Friday
Drive,Action,11/1/2019,147,3.5,Hindi,Friday
Leyla Everlasting,Comedy,12/4/2020,112,3.7,Turkish,Friday
The Last Days of American Crime,Heist film/Thriller,6/5/2020,149,3.7,English,Friday
Paradox,Musical/Western/Fantasy,3/23/2018,73,3.9,English,Friday
Sardar Ka Grandson,Comedy,5/18/2021,139,4.1,Hindi,Tuesday
Searching for Sheela,Documentary,4/22/2021,58,4.1,English,Thursday
The Call,Drama,11/27/2020,112,4.1,Korean,Friday
Whipped,Romantic comedy,9/18/2020,97,4.1,Indonesian,Friday
All Because of You,Action comedy,10/1/2020,101,4.2,Malay,Thursday
Mercy,Thriller,11/22/2016,90,4.2,English,Tuesday
After the Raid,Documentary,12/19/2019,25,4.3,Spanish,Thursday
Ghost Stories,Horror anthology,1/1/2020,144,4.3,Hindi,Wednesday
The Last Thing He Wanted,Political thriller,2/21/2020,115,4.3,English,Friday
What Happened to Mr. Cha?,Comedy,1/1/2021,102,4.3,Korean,Friday
Death Note,Horror thriller,8/25/2017,100,4.4,English,Friday
"Hello Privilege. It's Me, Chelsea",Documentary,9/13/2019,64,4.4,English,Friday
Secret Obsession,Thriller,7/18/2019,97,4.4,English,Thursday
Sextuplets,Comedy,8/16/2019,99,4.4,English,Friday
The Girl on the Train,Thriller,2/26/2021,120,4.4,Hindi,Friday
Thunder Force,Superhero-Comedy,4/9/2021,105,4.4,English,Friday
Fatal Affair,Thriller,7/16/2020,89,4.5,English,Thursday
Just Say Yes,Romantic comedy,4/2/2021,97,4.5,Dutch,Friday
Seriously Single,Comedy,7/31/2020,107,4.5,English,Friday
The Misadventures of Hedi and Cokeman,Comedy,2/10/2021,99,4.5,French,Wednesday
5 Star Christmas,Comedy,12/7/2018,95,4.6,Italian,Friday
After Maria,Documentary,5/24/2019,37,4.6,English/Spanish,Friday
I Am the Pretty Thing That Lives in the House,Horror,10/28/2016,89,4.6,English,Friday
Paris Is Us,Romance drama,2/22/2019,83,4.6,French,Friday
Porta dos Fundos: The First Temptation of Christ,Comedy,12/3/2019,46,4.6,Portuguese,Tuesday
Rattlesnake,Horror,10/25/2019,85,4.6,English,Friday
The Players,Comedy,7/15/2020,88,4.6,Italian,Wednesday
We Are One,Documentary,7/14/2020,86,4.6,French,Tuesday
Finding Agnes,Drama,11/30/2020,105,4.7,Filipino,Monday
IO,Science fiction/Drama,1/18/2019,95,4.7,English,Friday
Sentinelle,Action,3/5/2021,80,4.7,French,Friday
Sol Levante,Anime / Short,4/2/2020,4,4.7,English,Thursday
The Binding,Drama,10/2/2020,93,4.7,Italian,Friday
We Can Be Heroes,Superhero,12/25/2020,100,4.7,English,Friday
Christmas Crossfire,Thriller,12/4/2020,106,4.8,German,Friday
Coin Heist,Heist,1/6/2017,97,4.8,English,Friday
Mrs. Serial Killer,Thriller,5/1/2020,106,4.8,Hindi,Friday
Nobody Sleeps in the Woods Tonight,Horror,10/28/2020,103,4.8,Polish,Wednesday
Take the 10,Comedy,1/20/2017,80,4.8,English,Friday
The Main Event,Comedy,4/10/2020,101,4.8,English,Friday
The Ridiculous 6,Western,12/11/2015,119,4.8,English,Friday
Earth and Blood,Action,4/17/2020,80,4.9,French,Friday
Fearless,Animation/Superhero,8/14/2020,89,4.9,English,Friday
Holiday Rush,Family film,11/28/2019,94,4.9,English,Thursday
The Day of the Lord,Drama,10/30/2020,93,4.9,Spanish,Friday
Airplane Mode,Comedy,1/23/2020,96,5.0,Portuguese,Thursday
How It Ends,Action-thriller,7/13/2018,113,5.0,English,Friday
Love Like the Falling Rain,Drama,10/15/2020,86,5.0,Indonesian,Thursday
Rebirth,Thriller,7/15/2016,100,5.0,English,Friday
Squared Love,Romantic comedy,2/11/2021,102,5.0,Polish,Thursday
Cadaver,Horror,10/22/2020,86,5.1,Norwegian,Thursday
Clinical,Thriller,1/13/2017,104,5.1,English,Friday
Coffee & Kareem,Action comedy,4/3/2020,88,5.1,English,Friday
Dude,Teen comedy-drama,4/20/2018,97,5.1,English,Friday
Geez & Ann,Romantic drama,2/25/2021,105,5.1,Indonesian,Thursday
The Larva Island Movie,Animation,7/23/2020,90,5.1,English,Thursday
#REALITYHIGH,Comedy,9/8/2017,99,5.2,English,Friday
American Factory: A Conversation with the Obamas ,Aftershow / Interview,8/21/2019,10,5.2,English,Wednesday
Desperados,Romantic comedy,7/3/2020,106,5.2,English,Friday
Dolly Parton's Christmas on the Square,Christmas musical,11/22/2020,98,5.2,English,Sunday
Father of the Year,Comedy,7/20/2018,94,5.2,English,Friday
Firebrand,Drama,2/22/2019,112,5.2,Marathi,Friday
Ghost Lab,Horror,5/26/2021,117,5.2,Thai,Wednesday
Girlfriend's Day,Comedy,2/14/2017,70,5.2,English,Tuesday
Handsome: A Netflix Mystery Movie,Comedy,5/5/2017,81,5.2,English,Friday
Hubie Halloween,Comedy,10/7/2020,103,5.2,English,Wednesday
Ibiza,Comedy,5/25/2018,94,5.2,English,Friday
Rim of the World,Science fiction adventure,5/24/2019,98,5.2,English,Friday
Sandy Wexler,Comedy,4/14/2017,131,5.2,English,Friday
See You Yesterday,Science fiction,5/17/2019,87,5.2,English,Friday
Still Laugh-In: The Stars Celebrate,Variety show,5/14/2019,60,5.2,English,Tuesday
"Strip Down, Rise Up",Documentary,2/5/2021,112,5.2,English,Friday
Tall Girl,Comedy-drama,9/13/2019,102,5.2,English,Friday
The Beast,Drama,11/27/2020,99,5.2,Italian,Friday
The Week Of,Comedy,4/27/2018,116,5.2,English,Friday
A Christmas Prince: The Royal Wedding,Romantic comedy,11/30/2018,92,5.3,English,Friday
Back to School,Comedy,8/30/2019,83,5.3,French,Friday
Dangerous Lies,Thriller,4/30/2020,97,5.3,English,Thursday
Gunjan Saxena: The Kargil Girl,Drama,8/12/2020,112,5.3,Hindi,Wednesday
Intuition,Thriller,5/28/2020,116,5.3,Spanish,Thursday
The Most Assassinated Woman in the World,Thriller,9/7/2018,102,5.3,French,Friday
Things Heard & Seen,Horror,4/29/2021,121,5.3,English,Thursday
"To Each, Her Own",Romantic comedy,6/24/2018,95,5.3,French,Sunday
Who Would You Take to a Deserted Island?,Drama,4/12/2019,93,5.3,Spanish,Friday
XOXO,Drama,8/26/2016,92,5.3,English,Friday
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,10/15/2020,98,5.4,English,Thursday
A Christmas Prince: The Royal Baby,Romantic comedy,12/5/2019,85,5.4,English,Thursday
Despite Everything,Comedy,5/3/2019,78,5.4,Spanish,Friday
Dolly Kitty and Those Twinkling Stars,Drama,9/18/2020,120,5.4,Hindi,Friday
Freaks: You're One of Us,Supernatural drama,9/2/2020,92,5.4,German,Wednesday
"Game Over, Man!",Action/Comedy,3/23/2018,101,5.4,English,Friday
Guilty,Thriller,3/6/2020,119,5.4,Hindi,Friday
In the Tall Grass,Horror,10/4/2019,101,5.4,English,Friday
Madame Claude,Drama,4/2/2021,112,5.4,French,Friday
Naked,Comedy,8/11/2017,96,5.4,English,Friday
Outside the Wire,Action/Science fiction,1/15/2021,114,5.4,English,Friday
